Date,Starnuto
2018-09-26,85
2018-09-27,95
2018-09-28,89
2018-09-29,109
2018-09-30,109
2018-10-01,105
2018-10-02,121
2018-10-03,111
2018-10-04,89
2018-10-05,92
2018-10-06,108
2018-10-07,113
2018-10-08,108
2018-10-09,86
2018-10-10,116
2018-10-11,89
2018-10-12,201
2018-10-13,114
2018-10-14,124
2018-10-15,107
2018-10-16,110
2018-10-17,97
2018-10-18,118
2018-10-19,76
2018-10-20,95
2018-10-21,119
2018-10-22,81
2018-10-23,85
2018-10-24,96
2018-10-25,91
2018-10-26,80
2018-10-27,76
2018-10-28,103
2018-10-29,91
2018-10-30,87
2018-10-31,87
2018-11-01,108
2018-11-02,101
2018-11-03,133
2018-11-04,125
2018-11-05,105
2018-11-06,85
2018-11-07,108
2018-11-08,113
2018-11-09,115
2018-11-10,116
2018-11-11,112
2018-11-12,97
2018-11-13,110
2018-11-14,102
2018-11-15,88
2018-11-16,117
2018-11-17,115
2018-11-18,116
2018-11-19,101
2018-11-20,111
2018-11-21,109
2018-11-22,110
2018-11-23,108
2018-11-24,106
2018-11-25,89
2018-11-26,79
2018-11-27,70
2018-11-28,102
2018-11-29,91
2018-11-30,81
2018-12-01,75
2018-12-02,113
2018-12-03,93
2018-12-04,92
2018-12-05,96
2018-12-06,98
2018-12-07,78
2018-12-08,70
2018-12-09,92
