Date,""Tosse"""
2017-06-24,46
2017-06-25,61
2017-06-26,77
2017-06-27,67
2017-06-28,64
2017-06-29,40
2017-06-30,51
2017-07-01,42
2017-07-02,59
2017-07-03,61
2017-07-04,58
2017-07-05,80
2017-07-06,70
2017-07-07,47
2017-07-08,49
2017-07-09,48
2017-07-10,55
2017-07-11,42
2017-07-12,45
2017-07-13,70
2017-07-14,36
2017-07-15,30
2017-07-16,41
2017-07-17,33
2017-07-18,61
2017-07-19,41
2017-07-20,50
2017-07-21,44
2017-07-22,33
2017-07-23,55
2017-07-24,43
2017-07-25,51
2017-07-26,37
2017-07-27,62
2017-07-28,51
2017-07-29,31
2017-07-30,31
2017-07-31,59
2017-08-01,47
2017-08-02,45
2017-08-03,37
2017-08-04,31
2017-08-05,27
2017-08-06,23
2017-08-07,45
2017-08-08,43
2017-08-09,44
2017-08-10,30
2017-08-11,50
2017-08-12,36
2017-08-13,40
2017-08-14,44
2017-08-15,26
2017-08-16,37
2017-08-17,40
2017-08-18,42
2017-08-19,42
2017-08-20,41
2017-08-21,46
2017-08-22,65
2017-08-23,49
2017-08-24,55
2017-08-25,41
2017-08-26,49
2017-08-27,50
2017-08-28,55
2017-08-29,48
2017-08-30,45
2017-08-31,58
2017-09-01,55
2017-09-02,34
2017-09-03,48
2017-09-04,54
2017-09-05,53
2017-09-06,47
2017-09-07,64
2017-09-08,53
2017-09-09,53
2017-09-10,76
2017-09-11,49
2017-09-12,50
2017-09-13,70
2017-09-14,47
2017-09-15,42
2017-09-16,54
2017-09-17,55
2017-09-18,40
2017-09-19,67
2017-09-20,85
2017-09-21,56
2017-09-22,55
2017-09-23,64
2017-09-24,88
2017-09-25,97
2017-09-26,106
2017-09-27,98
2017-09-28,87
2017-09-29,102
2017-09-30,100
2017-10-01,106
2017-10-02,101
2017-10-03,105
2017-10-04,103
2017-10-05,114
2017-10-06,102
2017-10-07,118
2017-10-08,111
2017-10-09,103
2017-10-10,99
2017-10-11,80
2017-10-12,86
2017-10-13,74
2017-10-14,80
2017-10-15,79
2017-10-16,103
2017-10-17,62
2017-10-18,91
2017-10-19,93
2017-10-20,81
2017-10-21,86
2017-10-22,141
2017-10-23,120
2017-10-24,110
2017-10-25,83
2017-10-26,80
2017-10-27,77
2017-10-28,58
2017-10-29,76
2017-10-30,92
2017-10-31,104
2017-11-01,92
2017-11-02,89
2017-11-03,75
2017-11-04,79
2017-11-05,64
2017-11-06,73
2017-11-07,78
2017-11-08,93
2017-11-09,76
2017-11-10,72
2017-11-11,70
2017-11-12,75
2017-11-13,91
2017-11-14,94
2017-11-15,74
2017-11-16,78
2017-11-17,82
2017-11-18,82
2017-11-19,67
2017-11-20,102
2017-11-21,83
2017-11-22,99
2017-11-23,79
2017-11-24,95
2017-11-25,85
2017-11-26,88
2017-11-27,98
2017-11-28,72
2017-11-29,80
2017-11-30,69
2017-12-01,71
2017-12-02,61
2017-12-03,81
2017-12-04,69
2017-12-05,87
2017-12-06,82
2017-12-07,64
2017-12-08,81
2017-12-09,63
2017-12-10,85
2017-12-11,98
2017-12-12,83
2017-12-13,75
2017-12-14,67
2017-12-15,66
2017-12-16,70
2017-12-17,82
2017-12-18,81
2017-12-19,84
2017-12-20,71
2017-12-21,82
2017-12-22,81
2017-12-23,68
2017-12-24,82
2017-12-25,81
2017-12-26,111
2017-12-27,128
2017-12-28,127
2017-12-29,120
2017-12-30,121
2017-12-31,73
2018-01-01,117
2018-01-02,153
2018-01-03,168
2018-01-04,132
2018-01-05,150
2018-01-06,149
2018-01-07,132
2018-01-08,154
2018-01-09,148
2018-01-10,147
2018-01-11,168
2018-01-12,145
2018-01-13,104
2018-01-14,149
2018-01-15,120
2018-01-16,91
2018-01-17,131
2018-01-18,99
2018-01-19,126
2018-01-20,100
2018-01-21,119
2018-01-22,106
2018-01-23,116
2018-01-24,133
2018-01-25,127
2018-01-26,131
2018-01-27,114
2018-01-28,131
2018-01-29,133
2018-01-30,112
2018-01-31,124
2018-02-01,126
2018-02-02,131
2018-02-03,97
2018-02-04,108
2018-02-05,124
2018-02-06,95
2018-02-07,96
2018-02-08,86
2018-02-09,115
2018-02-10,96
2018-02-11,81
2018-02-12,113
2018-02-13,110
2018-02-14,88
2018-02-15,97
2018-02-16,111
2018-02-17,102
2018-02-18,125
2018-02-19,91
2018-02-20,95
2018-02-21,114
2018-02-22,98
2018-02-23,85
2018-02-24,91
2018-02-25,91
2018-02-26,97
2018-02-27,94
2018-02-28,103
2018-03-01,69
2018-03-02,89
2018-03-03,69
2018-03-04,107
2018-03-05,81
2018-03-06,82
2018-03-07,84
2018-03-08,86
2018-03-09,68
2018-03-10,83
2018-03-11,80
2018-03-12,102
2018-03-13,91
2018-03-14,101
2018-03-15,76
2018-03-16,90
2018-03-17,102
2018-03-18,85
2018-03-19,95
2018-03-20,93
2018-03-21,95
2018-03-22,84
2018-03-23,90
2018-03-24,74
2018-03-25,82
2018-03-26,95
2018-03-27,125
2018-03-28,77
2018-03-29,73
2018-03-30,73
2018-03-31,84
2018-04-01,87
2018-04-02,94
2018-04-03,88
2018-04-04,87
2018-04-05,88
2018-04-06,76
2018-04-07,85
2018-04-08,95
2018-04-09,78
2018-04-10,110
2018-04-11,74
2018-04-12,83
2018-04-13,80
2018-04-14,74
2018-04-15,110
2018-04-16,99
2018-04-17,86
2018-04-18,79
2018-04-19,87
2018-04-20,80
2018-04-21,66
2018-04-22,67
2018-04-23,81
2018-04-24,85
2018-04-25,86
2018-04-26,86
2018-04-27,96
2018-04-28,67
2018-04-29,71
2018-04-30,84
2018-05-01,97
2018-05-02,87
2018-05-03,93
2018-05-04,82
2018-05-05,56
2018-05-06,57
2018-05-07,73
2018-05-08,85
2018-05-09,73
2018-05-10,85
2018-05-11,65
2018-05-12,73
2018-05-13,79
2018-05-14,70
2018-05-15,85
2018-05-16,88
2018-05-17,76
2018-05-18,55
2018-05-19,72
2018-05-20,67
2018-05-21,56
2018-05-22,79
2018-05-23,88
2018-05-24,87
2018-05-25,91
2018-05-26,58
2018-05-27,45
2018-05-28,59
2018-05-29,58
2018-05-30,58
2018-05-31,59
2018-06-01,59
2018-06-02,56
2018-06-03,73
2018-06-04,65
2018-06-05,79
2018-06-06,57
2018-06-07,72
2018-06-08,78
2018-06-09,41
2018-06-10,65
2018-06-11,60
2018-06-12,50
2018-06-13,69
2018-06-14,58
2018-06-15,61
2018-06-16,61
2018-06-17,71
2018-06-18,58
2018-06-19,83
2018-06-20,69
2018-06-21,53
2018-06-22,87
2018-06-23,84
2018-06-24,60
2018-06-25,68
2018-06-26,133
2018-06-27,62
2018-06-28,78
2018-06-29,121
2018-06-30,54
2018-07-01,125
2018-07-02,68
2018-07-03,54
2018-07-04,68
2018-07-05,46
2018-07-06,47
2018-07-07,25
2018-07-08,41
2018-07-09,50
2018-07-10,90
2018-07-11,61
2018-07-12,42
2018-07-13,37
