Date,Raffreddore
2017-07-10,12
2017-07-11,12
2017-07-12,16
2017-07-13,10
2017-07-14,6
2017-07-15,4
2017-07-16,7
2017-07-17,4
2017-07-18,10
2017-07-19,5
2017-07-20,1
2017-07-21,6
2017-07-22,4
2017-07-23,1
2017-07-24,3
2017-07-25,5
2017-07-26,5
2017-07-27,5
2017-07-28,5
2017-07-29,3
2017-07-30,3
2017-07-31,3
2017-08-01,11
2017-08-02,7
2017-08-03,1
2017-08-04,5
2017-08-05,7
2017-08-06,1
2017-08-07,4
2017-08-08,2
2017-08-09,8
2017-08-10,2
2017-08-11,4
2017-08-12,3
2017-08-13,10
2017-08-14,5
2017-08-15,12
2017-08-16,6
2017-08-17,3
2017-08-18,14
2017-08-19,8
2017-08-20,5
2017-08-21,1
2017-08-22,18
2017-08-23,7
2017-08-24,10
2017-08-25,5
2017-08-26,5
2017-08-27,3
2017-08-28,4
2017-08-29,8
2017-08-30,5
2017-08-31,4
2017-09-01,10
2017-09-02,11
2017-09-03,6
2017-09-04,6
2017-09-05,11
2017-09-06,11
2017-09-07,7
2017-09-08,12
2017-09-09,10
2017-09-10,16
2017-09-11,12
2017-09-12,7
2017-09-13,8
2017-09-14,6
2017-09-15,18
2017-09-16,16
2017-09-17,18
2017-09-18,16
2017-09-19,14
2017-09-20,23
2017-09-21,24
2017-09-22,12
2017-09-23,26
2017-09-24,47
2017-09-25,38
2017-09-26,30
2017-09-27,28
2017-09-28,37
2017-09-29,38
2017-09-30,38
2017-10-01,17
2017-10-02,35
2017-10-03,19
2017-10-04,21
2017-10-05,21
2017-10-06,36
2017-10-07,24
2017-10-08,19
2017-10-09,19
2017-10-10,23
2017-10-11,18
2017-10-12,16
2017-10-13,13
2017-10-14,28
2017-10-15,16
2017-10-16,16
2017-10-17,20
2017-10-18,27
2017-10-19,14
2017-10-20,21
2017-10-21,19
2017-10-22,21
2017-10-23,19
2017-10-24,19
2017-10-25,26
2017-10-26,7
2017-10-27,15
2017-10-28,8
2017-10-29,10
2017-10-30,12
2017-10-31,16
2017-11-01,8
2017-11-02,21
2017-11-03,19
2017-11-04,11
2017-11-05,13
2017-11-06,9
2017-11-07,17
2017-11-08,10
2017-11-09,15
2017-11-10,15
2017-11-11,10
2017-11-12,12
2017-11-13,4
2017-11-14,15
2017-11-15,17
2017-11-16,12
2017-11-17,11
2017-11-18,12
2017-11-19,23
2017-11-20,16
2017-11-21,13
2017-11-22,14
2017-11-23,16
2017-11-24,14
2017-11-25,15
2017-11-26,22
2017-11-27,25
2017-11-28,18
2017-11-29,17
2017-11-30,15
2017-12-01,18
2017-12-02,12
2017-12-03,22
2017-12-04,23
2017-12-05,19
2017-12-06,22
2017-12-07,24
2017-12-08,28
2017-12-09,28
2017-12-10,19
2017-12-11,35
2017-12-12,25
2017-12-13,22
2017-12-14,13
2017-12-15,15
2017-12-16,20
2017-12-17,26
2017-12-18,21
